,"en","de","es","fr","ko","pl","pt","ru","zh","ja"
"SaveSettingsAndSnapshots","Save settings and snapshots with the game","Einstellungen und Schnappschüsse mit dem Spiel speichern","Guarda configuraciones e instantáneas con el juego","Enregistrez les paramètres et les instantanés avec le jeu","게임과 함께 설정 및 스냅샷 저장","Zapisuj ustawienia i migawki w grze","Salve as configurações e instantâneos com o jogo","Сохранение настроек и снимков в игре","在游戏中保存设置和快照","ゲームで設定とスナップショットを保存する"
,,,,,,,,,,
"# Main panel UI",,,,,,,,,,
"ExpandAll","Expand all","Alle erweitern","Expandir todo","Développer tout","모두 펼치기","Rozwiń wszystkie","Expandir todos","Расширить все","展开全部","すべて展開"
"CollapseAll","Collapse all","Alles ausblenden","Colapso todo","Tout réduire","모든 축소","Zwinąć wszystkie","Colapso todos","Свернуть все","全部收缩","全て折り畳む"
"Selected","Selected: {0}/{1}","Ausgewählt: {0}/{1}","Seleccionado: {0}/{1}","Sélectionné: {0}/{1}","선택됨: {0}/{1}","Wybrane: {0}/{1}","Selecionado: {0}/{1}","Выбрано: {0}/{1}","已选择：{0}/{1}","選択済み: {0}/{1}"
"DeselectAll","Deselect all","Alle abwählen","Deseleccionar todo","Tout déselectionner","모두 선택 해제","Odznacz wszystkie","Desmarcar todos","Снять все","取消全选","選択を全解除"
"YearsToShow","Years to show:","Jahre zu zeigen:","Años para mostrar:","Années à afficher:","보여줄 년:","Lata do pokazania:","Anos para mostrar:","Годы, чтобы показать:","显示年份：","表示する年："
"DatesToShow","Dates to show:","Termine zu zeigen:","Fechas para mostrar:","Dates à afficher :","표시 날짜:","Daty do pokazania:","Datas para mostrar:","Даты показа:","显示日期：","表示する日付:"
"All","All","Alle","Todos","Tout","모두","Wszystko","Tudo","Все","全部","全期間"
"FromTo","From to","Von bis","Desde hasta","De à","범위","Od do","De para","С до","从到","指定期間"
"SnapshotCount","Snapshots:","Schnappschüsse:","Instantáneas:","Instantanés:","스냅샷:","Migawki:","Instantâneos:","Снимки:","快照：","スナップショット："
,,,,,,,,,,
"# Graph month labels",,,,,,,,,,
"Month1","Jan","Jan","ene","janv.","1월","sty","jan","янв","一月","1月"
"Month2","Feb","Feb","feb","févr.","2월","lut","fev","фев","二月","2月"
"Month3","Mar","Mrz","mar","mars","3월","mar","mar","мар","三月","3月"
"Month4","Apr","Apr","abr","avr.","4월","kwi","abr","апр","四月","4月"
"Month5","May","Mai","may","mai","5월","maj","mai","май","五月","5月"
"Month6","Jun","Jun","jun","juin","6월","cze","jun","июн","六月","6月"
"Month7","Jul","Jul","jul","juil.","7월","lip","jul","июл","七月","7月"
"Month8","Aug","Aug","ago","août","8월","sie","ago","авг","八月","8月"
"Month9","Sep","Sep","sep","sept.","9월","wrz","set","сен","九月","9月"
"Month10","Oct","Okt","oct","oct.","10월","paź","out","окт","十月","10月"
"Month11","Nov","Nov","nov","nov.","11월","lis","nov","ноя","十一月","11月"
"Month12","Dec","Dez","dic","déc.","12월","gru","dez","дек","十二月","12月"
,,,,,,,,,,
"# category descriptions",,,,,,,,,,
"Electricity","Electricity","Elektrizität","Electricidad","Électricité","전기학","Elektryczność","Eletricidade","Электричество","电力","電力"
"Water","Water","Wasser","Agua","Eau","물","Woda","Água","Воды","水","水道"
"WaterTank","Water Tank","Wassertank","Depósito de agua","Réservoir d'eau","물 탱크","Zbiornik wodny","Tanque de água","Водный танк","水缸","貯水タンク"
"Sewage","Sewage","Abwasser","Aguas residuales","Eaux usées","하수 오물","Ścieki","Esgoto","Канализация","污水","汚水処理"
"Landfill","Landfill","Mülldeponie ","Relleno sanitario","Décharge","매립","Składowisko","Aterro","Свалка","垃圾填埋场","埋立地"
"Garbage","Garbage","Müll","Basura","Déchets","쓰레기","Śmieci","Lixo","Отходы","垃圾","ごみ"
"Education","Education","Bildung","Educación","Éducation","교육","Edukacja","Educação","Образование","教育","教育"
"EducationLevel","Education Level","Bildungsniveau","Nivel de Educación","niveau d'éducation","교육 수준","Poziom edukacji","Nível de educação","Уровень образования","教育程度","教育レベル"
"Happiness","Happiness","Zufriedenheit","Felicidad","Bonheur","행복도","Zadowolenie","Felicidade","Счастье","幸福度","幸福度"
"Healthcare","Healthcare","Gesundheitswesen","Atención médica","Soins de santé","의료","Opieka zdrowotna","Serviços de saúde","Здравоохранение","卫生保健","健康管理"
"Deathcare","Deathcare","Bestattungswesen","Servicio funerario","Soins de la mort","장례 관리","Opieka nad śmiercią","Serviços funerários","Ритуальные услуги","殡葬服务","葬儀"
"Childcare","Childcare","Kinderbetreuung","Cuidado de niños","Garde d'enfants","아동 보건","Opieka nad dziećmi","Cuidado Infantil","Уход за детьми","儿童护理","小児医療"
"Eldercare","Eldercare","Altersheim","Cuidado de ancianos","Soins aux personnes âgées","노인 보건","Opieka nad seniorami","Centro de Geriatria","Уход за пожилыми","老年护理","老人医療"
"Zoning","Zoning","Zoneneinteilung","Zonificación","Zonage","지대 설정","Podział na strefy","Zoneamento","Зонирование","区域划分","ゾーニング"
"ZoneLevel","Zone Level","Zonenebene","Nivel de zona","Niveau de zone","구역화 수준","Poziom strefy","Nível de Zona","Уровень зоны","区域级别","区画のレベル"
"ZoneBuildings","Zone Buildings","Zonengebäude","Edificios de zona","Bâtiments de zone","구역 건물","Budynki strefowe","Edifícios de zona","Зона Здания","区域建筑","区画の建物"
"ZoneDemand","Zone Demand","Zonenbedarf","Demanda de zona","Demande de zone","구역 수요","Zapotrzebowanie na strefy","Demanda de zona","Зона спроса","区域需求","区画の需要"
"Traffic","Traffic","Verkehr","Tráfico","Trafic","교통량","Ruch drogowy","Trânsito","Трафик","交通状况","交通"
"Pollution","Pollution","Verschmutzung","Contaminación","Pollution","오염도","Skażenie","Poluição","Загрязнение","污染","汚染"
"FireSafety","Fire Safety","Feuersicherheit","Servicio de bomberos","Sécurité incendie","화재 안전도","Bezpieczeństwo pożarowe","Segurança contra incêndios","Пожарная безопасность","消防安全","火災の危険度"
"Crime","Crime","Kriminalität","Criminalidad","Crime","범죄","Przestępczość","Crime","Преступность","犯罪","犯罪"
"Location","Location","","","","","","Localização","","",""
"Work","Work","","","","","","Trabalho","","",""
"Home","Home","","","","","","Casa","","",""
"Moving","Moving","","","","","","Locomovendo","","",""
"Visit","Visit","","","","","","Visita","","",""
"CitizenOnBike","Riding Bicycle","","","","","","Andando de Bicicleta","","",""
"CitizenWaiting","Waiting for Transit","","","","","","Esperando Transporte","","",""
"CitizenBored","Bored of Waiting","","","","","","Cansado de Esperar","","",""
"PublicTransportation","Public Transportation","Nahverkehr","Transporte público","Transport public","대중 교통","Transport publiczny","Transporte público","Общественный транспорт","公共交通","公共交通"
"Population","Population","Bevölkerung","Población","Population","인구","Populacja","População","Население","人口","人口"
"Households","Households","Haushalte","Familias","Ménages","가구수","Gospodarstwa domowe","Residências","Семей","家庭数","世帯数"
"Employment","Employment","Anstellung","Empleo","Emplois","고용","Zatrudnienie","Emprego","Трудоустройство","就业","雇用状況"
"OutsideConnections","Outside Connections","Externe Verbindungen","Conexiones con el exterior","Connexions extérieure","외부 연결","Połączenia zewnętrzne","Conexões externas","Внешние соединения","外部连接","外部接続"
"LandValue","Land Value","Land Wert","Valor del terreno","Valeur foncière","토지 가격","Wartość gruntu","Valor de terreno","Ценность земли","土地价值","地価"
"NaturalResources","Natural Resources","Naturrohstoffe","Recursos naturales","Ressources naturelles","천연 자원","Zasoby naturalne","Recursos naturais","Природные ресурсы","自然资源","天然資源"
"Heating","Heating","Heizung","Calefacción","Chauffage","난방","Ogrzewanie","Aquecimento","Отопление","供暖","暖房"
"Tourism","Tourism","Tourismus","Turismo","Tourisme","관광사업","Turystyka","Turismo","Туризм","旅游业","観光"
"Tours","Tours","Touren","Visitas guiadas","Tournées","투어","Wycieczki","Passeios","Экскурсии","游览","ツアー"
"TaxRate","Tax Rate","Steuersatz","Tasa de impuesto","Taux d'imposition","세액","Wysokość podatku","Taxa de imposto","Ставка налога","税率","税率"
"CityEconomy","City Economy","Stadtwirtschaft","Economía de la ciudad","Économie de la ville","도시 경제","Gospodarka miejska","Economia da cidade","Город экономика","城市经济","都市経済"
"ResidentialIncome","Residential Income","Wohneinkommen","Ingresos residenciales","Revenu résidentiel","주거 소득","Dochód mieszkaniowy","Renda Residencial","Жилой доход","住宅收入","住宅収入"
"CommercialIncome","Commercial Income","Gewerbliches Einkommen","Ingresos comerciales","Revenu commercial","상업 소득","Dochód komercyjny","Renda Comercial","Коммерческий доход","商业收入","商業収入"
"IndustrialIncome","Industrial Income","Industrielles Einkommen","Ingresos industrial","Revenu industriel","산업 소득","Dochód przemysłowy","Renda Industrial","Промышленный доход","工业收入","産業所得"
"OfficeIncome","Office Income","Büroeinkommen","Ingresos de oficina","Revenu de bureau","사무실 소득","Dochód biurowy","Renda do escritório","Офисный доход","办公室收入","オフィス収入"
"TourismIncome","Tourism Income","Tourismuseinkommen","Ingresos por turismo","Revenu du tourisme","관광 소득","Dochód z turystyki","Renda Turismo","Доход от туризма","旅游收入","観光客の収入"
"ServiceExpenses","Service Expenses","Servicekosten","Gastos de servicio","Frais de services","서비스 비용","Koszty usługi","Despesas de Serviço","Расходы на обслуживание","服务成本","各サービスの費用"
"ParkAreas","Park Areas","Parkgebiete","Zonas de parque","Zones parc","공원 지역","Obszary parkowe","Áreas de parque","Парковые районы","公园区域","パークエリア"
"IndustryAreas","Industry Areas","Industriegebiete","Áreas industriales","Zones industrielles","산업 영역","Obszary przemysłowe","Áreas industriais","Промышленные районы","工业区","産業エリア"
"FishingIndustry","Fishing Industry","Fischindustrie","Industria pesquera","Industrie de la pêche","어업","Przemysł rybołówstwa","Indústria pesqueira","Рыболовная промышленность","捕鱼业","漁業"
"CampusAreas","Campus Areas","Campusgelände","Zonas de campus","Zones campus","캠퍼스 지역","Obszary kampusowe","Áreas de Campus","Территории кампусов","校园区域","キャンパスエリア"
"TransportEconomy","Transport Economy","Transport Wirtschaft","Economía del transporte","Économie des transports","운송 경제","Gospodarka transportowa","Economia de Transporte","Транспортное экономика","交通经济","交通経済"
"GameLimits","Game Limits","Spiellimits","Límites del juego","Limites du jeu","게임 제한","Limity gra","Limites de jogo","Пределы игры","游戏限制","ゲームの制限"
,,,,,,,,,,
"# statistic descriptions",,,,,,,,,,
"None"," ",,,,,,,,,
"Consumption","Consumption","Verbrauch","Consumo","Consommation","소비","Konsumpcja","Consumo","Потребление","消耗","消費量"
"Production","Production","Produktion","Producción","Production","연출","Produkcja","Produção","Производство","生产","生産量"
"PumpingCapacity","Pumping Capacity","Pumpkapazität","Capacidad de bombeo","Capacité de pompage","펌핑 용량","Wydajność pompowania","Capacidade de bombeamento","Насосная мощность","抽水能力","ポンプ能力"
"Reserved","Reserved","Reserviert","Reservado","Réservé","예약 된","Zaopatrzenie","Reservado","Зарезервированный","存储","ストレージ"
"StorageCapacity","Storage Capacity","Lagerkapazität","Capacidad de almacenamiento","Capacité de Stockage","저장 용량","Pojemność przechowywania","Capacidade de armazenamento","Емкость","容量","ストレージ容量"
"DrainingCapacity","Draining Capacity","Entleerungskapazität","Capacidad desagüe","Capacité d'évacuation","배수 용량","Pojemność odpływu","Capacidade de Drenagem","Емкость слива","排水能力","排水サービスの容量"
"Storage","Storage","Lagerung","Almacenamiento","Stockage","창고 보관","Składowanie","Armazenado","Место хранения","存储","ストレージ"
"Capacity","Capacity","Kapazität","Capacidad","Capacité","수용력","Pojemność","Capacidade","Емкость","容量","容量"
"ProcessingCapacity","Processing Capacity","Verarbeitungskapazität","Capacidad de procesamiento","Capacité de traitement","처리 용량","Zdolność przetwarzania","Capacidade de processamento","макс. объем обработки","处理能力","処理能力"
"Elementary","Elementary","Grundschule","Colegios","Élémentaire","초등학교","Szkoła podstawowa","Ensino fundamental","Начальная","小学","小学校"
"HighSchool","High School","Oberschule","Institutos","Collège et lycée","고등학교","Szkoła średnia","Ensino médio","Высшая школа","中学","高校"
"University","University","Universität","Universidades","Université","대학교","Uniwersytet","Universidade","Университет","大学","大学"
"PublicLibrary","Public Library","Bibliothek","Biblioteca","Bibliothèque","도서관","Biblioteka","Biblioteca","Библиотека","图书馆","公立図書館"
"Eligible","Eligible","Berechtigt","Elegibles","Éligible","자격이있는","Uprawnieni","Elegível","Отвечающих требованиям","符合","対象者"
"Users","Users","Benutzer","Usuarios","Utilisateurs","사용자","Użytkownicy","Utilizador","Пользователи","用户","利用者"
"Uneducated","Uneducated","Ungebildet","Analfabetos","Sans instruction","교육받지 못함","Niewykształcony","Sem estudos","Без образования","未受教育","学歴なし"
"Educated","Educated","Gebildet","Con ed. primaria","Instruit","교육받음","Wykształcony","Instruídos","С образованием","受普通教育","教育済み"
"WellEducated","Well Educated","Gut gebildet","Con ed. secundaria","Bien instruit","좋은 교육 받음","Dobrze wykształcony","Muito instruídos","С хорошим образованием","受中等教育","高校卒業"
"HighlyEducated","Highly Educated","Hochgebildet","Con ed. universitaria","Très instruit","높은 교육 받음","Bardzo dobrze wykształcony","Altamente instruídos","С высшим образованием","受高等教育","大学卒業"
"Global","Global","Global","Global","Global","글로벌","Światowy","Global","Глобальный","全球的","全体"
"Residential","Residential","Wohn","Residencial","Résidentiel","거주지","Osiedle mieszkaniowe","residencial","Жилой","住宅","居住の"
"Commercial","Commercial","Gewerblich","Comercial","Commercial","사업","Handlowy","Comercial","Коммерческий","商业的","商業の"
"Industrial","Industrial","Industriell","Industriales","Industriel","산업","Przemysłowe","Industrial","Промышленные","工业","業界"
"Office","Office","Büro","Oficinas","Bureaux","사무","Biuro","Escritório","Деловая","办公区","オフィス"
"Unzoned","Unzoned","Nicht gezont","No zonificado","Non zoné","구역화되지 않음","Bez stref","Não zoneado","Незонированный","无区","ゾーン化されていない"
"AverageHealth","Average Health","Durchschnittsgesundheit","Salud media","Santé moyenne","평균 건강","Średni stan zdrowia","Média de saúde","Средний уровень здоровья","平均健康","平均健康度"
"Sick","Sick","Krank","Enfermos","Malade","병든","Chory","Doente","Больной","生病的","病気"
"HealCapacity","Heal Capacity","Heilungskapazität","Capacidad de curación","Capacité de soin","진료 수용","Pojemność placówek","Capacidade de cura","Доступно коек","医疗床位","病院の収容人数"
"Cemetery","Cemetery","Friedhof","Cementerio","Cimetière","공동묘지","Cmentarz","Cemitério","Кладбище","公墓","墓地"
"Buried","Buried","Begrabene","Enterrados","Enterrés","안치","Pochowanych","Enterrados","Погребено","已埋葬","埋葬済"
"Crematorium","Crematorium","Krematorium","Crematorio","Crématorium","화장장","Krematorium","Crematório","Крематорий","火葬场","火葬場"
"Deceased","Deceased","Verstorbene","Fallecidos","Décès","고인","Zmarłych","Falecidos","Умерших","遗体","死者"
"DeathRate","Death Rate","Sterberate","Tasa de mortalidad","Mortalité","사망률","Wskaźnik zgonów","Taxa de mortalidade","Индекс смертности","死亡率","死亡率"
"SickChildrenTeens","Sick Children+Teens","Kranke Kinder und Jugendliche","Niños y adolescentes enfermos","Enfants et adolescents malades","아픈 어린이와 청소년","Chore dzieci I nastolatki","Crianças e adolescentes doentes","Заболевших детей и подростков","生病的儿童和青少年","病気の子供+ティーン"
"ChildrenTeens","Children+Teens","Kinder und Jugendliche","Niños y adolescentes","Enfants et adolescents","어린이와 청소년","Dzieci i Nastolatki","Crianças e adolescentes","Детей и подростков","儿童和青少年","子供+ティーン"
"BirthRate","Birth Rate","Geburtenrate","Tasa de natalidad","Taux de natalité","출산율","Współczynnik urodzeń","Taxa de nascimento","Уровень рождаемости","婴儿出生率","出生率"
"SickSeniors","Sick Seniors","Kranke Senioren","Ancianos enfermos","Seniors malades","아픈 노인","Chorzy seniorzy","Idosos doentes","Заболевших пожилых людей","生病的老年人","病気の先輩"
"AverageLifeSpan","Average Life Span","Durchschnittliche Lebenserwartung","Promedio de vida","Espérance de vie moyenne","평균 수명","Przeciętna długość życia","Expectativa de vida média","Средняя продолжительность жизни","平均寿命","平均寿命"
"Average","Average","Durchschnitt","Promedio","Moyenne","평균","Przeciętny","Média","В среднем","平均数","平均"
"Level1","1","1","1","1","1","1","1","1","1","1"
"Level2","2","2","2","2","2","2","2","2","2","2"
"Level3","3","3","3","3","3","3","3","3","3","3"
"Level4","4","4","4","4","4","4","4","4","4","4"
"Level5","5","5","5","5","5","5","5","5","5","5"
"IndustrialOffice","Industrial/Office","Industriell/Büro","Industriales/Oficinas","Industriel/Bureaux","산업/사무","Przemysłowe/Biuro","Industrial/Escritório","Промышленные/Деловая","工业/办公区","産業/オフィス"
"Flow","Flow","Strömung","Fluir","Couler","흐름","Pływ","Fluxo","Поток","流动","流量"
"Ground","Ground","Erdreich","Suelo","Sol","토양","Grunt","Solo","Земля","地面","土壌"
"DrinkingWater","Drinking Water","Wasser trinken","Agua potable","Boire de l'eau","식수","Woda pitna","Água potável","Питьевая вода","饮用水","水を飲んでいる"
"Noise","Noise","Lärm","Ruido","Bruit","소음","Hałas","Barulho","Шум","噪音","騒音"
"Hazard","Hazard","Gefahr","Peligro","Danger","위험도","Ryzyko","Risco","Источник пожароопасности","风险指数","危険"
"Rate","Rate","Rate","Tasa","Taux","율","Stawka","Taxa","Уровень","率","率"
"DetainedCriminals","Detained Criminals","Inhaftierte Verbrecher","Delincuentes detenidos","Criminels sous les barreaux","억류된 범죄자","Ujętych przestępców","Criminosos detidos","Задержан. преступники","已拘留罪犯","拘留された犯罪者"
"JailsCapacity","Jails Capacity","Gefängniskapazität","Capacidad de las cárceles","Capacité prisons","교도소 수용 한도","Pojemność więzień","Capacidade das prisões","Доступно мест в тюрьмах","监狱容量","刑務所の収容人数"
"Total","Total","Gesamt","Total","Total","총","Całkowity","Total","Всего","总计","合計"
"Bus","Bus","Bus","Autobús","Bus","버스","Autobus","Ônibus","Автобус","公交车","バス"
"Trolleybus","Trolleybus","Oberleitungsbus","Trolebús","Trolleybus","트롤리버스","Trolejbus","Trólebus","Троллейбус","无轨电车","トロリーバス"
"Tram","Tram","Straßenbahn","Tranvía","Tram","전차]","Tramwaj","Bonde","Трамвай","电车","トラム"
"Metro","Metro","U-Bahn","Metro","Métro","지하철","Metro","Metrô","Метро","地铁","地下鉄"
"Train","Train","Zug","Tren","Train","기차","Pociąg","Trem","Поезд","火车","鉄道"
"Ship","Ship","Schiff","Barco","Bateau","선박","Statek","Navio","Корабль","船舶","船舶"
"Air","Air","Luft","Aire","Air","항공","Powietrze","Ar","Воздух","飞机和飞艇","飛行機"
"Monorail","Monorail","Monorail","Monorraíl","Monorail","모노레일","Kolej jednoszynowa","Monotrilho","Монорельс","单轨列车","モノレール"
"CableCar","Cable Car","Seilbahn","Teleférico","Téléphérique","케이블 카","Kolej linowa","Bondinho","Канатная дорога","缆车","ケーブルカー"
"Taxi","Taxi","Taxi","Taxi","Taxi","택시","Taxi","Táxi","Такси","出租车","タクシー"
"Children","Children","Kinder","Niños","Enfants","어린이","Dzieci","Crianças","Дети","儿童","子供"
"Teens","Teens","Jugendliche","Adolescentes","Adolescents","청소년","Nastolatki","Adolescentes","Подростки","青少年","ティーン"
"YoungAdults","Young Adults","Junge Erw.","Jóvenes","Jeunes adultes","청년","Młodzi dorośli","Jovens adultos","Молодежь","青年","若い大人"
"Adults","Adults","Erwachsene","Adultos","Adultes","성인","Dorośli","Adultos","Взрослые","成人","大人"
"Seniors","Seniors","Senioren","Ancianos","Séniors","노인","Seniorzy","Idosos","Пожилые","老年人","高齢者"
"Occupied","Occupied","Besetzt","Ocupado","Occupé","가득차 있는","Zajęty","Ocupado","Занят","占据","占領"
"Available","Available","Verfügbar","Disponible","Disponible","사용 가능","Dostępne","Disponíveis","Доступно","可用的","利用可能"
"PeopleEmployed","People Employed","Angestellte Bürger","Personas con empleo","Employés","취업 인구","Zatrudnieni pracownicy","Pessoas empregadas","Люди Занятые","就业人口","雇用者数"
"JobsAvailable","Jobs Available","Verfügbare Arbeitsstellen","Puestos disponibles","Emplois disponibles","일자리","Dostępne miejsca pracy","Empregos disponíveis","Доступно вакансий","职缺","利用可能なジョブ"
"UnfilledJobs","Unfilled Jobs","Unbesetzte Stellen","Trabajos de Sin llenar ","Non rempli emplois","채워지지 않은 작업","Niewypełnione oferty pracy","Trabalhos não preenchidos","Незаполненные вакансии","空缺职位","未雇用の求人数"
"Unemployment","Unemployment","Arbeitslose Bürger","Desempleo","Chômage","실업","Bezrobocie","Desemprego","Безработица","失业","失業率"
"Unemployed","Unemployed","Arbeitslos","Sin trabajo","Sans emploi","실업자","Bezrobotny","Desempregado","Без работы","失业","無職"
"EligibleWorkers","Eligible Workers","Berechtigte Arbeitnehmer","Trabajadores elegibles","Travailleurs éligibles","적격 근로자","Kwalifikujący się pracownicy","Trabalhadores Elegíveis","Приемлемые работники","符合条件的工人","対象の労働者"
"Import","Import","Import","Importación","Import","수입","Import","Importações","Импорт","进口","輸入"
"Export","Export","Export","Exportación","Export","수출","Eksport","Exportações","Экспорт","出口","輸出"
"Goods","Goods","Waren","Bienes","Marchandises","일반 상품","Towary","Mercadorias","Товары","货物","商品"
"Forestry","Forestry","Forstwirtschaft","Forestal","Foresterie","산림업","Leśnictwo","Florestal","Лесное хозяйство","林业","林業"
"Farming","Farming","Landwirtschaft","Ganadería","Agriculture","농업","Rolnictwo","Agricultura","Сельское хозяйство","农业","農業"
"Ore","Ore","Erz","Minerales","Minerai","광석","Kruszec","Minério","Горнорудная","矿业","鉱業"
"Oil","Oil","Öl","Crudo","Pétrole","석유","Ropa naftowa","Petróleo","Нефтяная","石化","油"
"Mail","Mail","Post","Correo","Courrier","우편","Poczta","Correio","Почта","邮件","郵便"
"Fish","Fish","Fisch","Pescado","Poisson","수산물","Ryba","Peixe","Рыба","鱼","魚介"
"Forest","Forest","Wald","Bosques","Forêt","숲","Las","Floresta","Лес","森林","森林"
"FertileLand","Fertile Land","Fruchtbares Land","Tierra fértil","Terres fertiles","비옥한 땅","Żyzna gleba","Terra fértil","Плодородные земли","沃土","肥沃な土地"
"Used","Used","Verwendet","Explotados","Utilisé","사용함","Zużyte","Usados","Используется","已使用","使用済"
"CityAttractiveness","City Attractiveness","Stadtattraktivität","Atractivo de la ciudad","Attractivité de la ville","도시 매력","Atrakcyjność miasta","Atratividade da cidade","Привлекательность города","城市吸引力","都市の魅力度"
"LowWealth","Low Wealth","Geringes Vermögen","Poder adquisitivo bajo","Richesse faible","저소득","Niska zamożność","Baixa riqueza","Низкое богатство","低收入","低富"
"MediumWealth","Medium Wealth","Mittleres Vermögen","Poder adquisitivo mediano","Richesse moyenne","중산층","Średnia zamożność","Média riqueza","Среднее достаток","中收入","ミディアムウェルス"
"HighWealth","High Wealth","Großes Vermögen","Poder adquisitivo alto","Richesse élevée","고소득","Wysoka zamożność","Alta riqueza","Высокое богатство","高收入","ハイウェルス"
"ExchangeStudentBonus","Exchange Student Bonus","Austauschstudenten-Bonus","Bonificación de estudiantes de intercambio","Bonus étudiant étranger","교환 학생 보너스","Premia za wymianę studencką","Bônus de alunos de intercâmbio","Бонус за студентов по обмену","交换学生奖励","交換留学生のボーナス"
"WalkingTour","Walking Tour","Wandertour","Ruta a pie","Circuit pédestre","도보 투어","Wycieczka piesza","Passeio a pé","Пешая экскурсия","徒步之旅","徒歩ツアー"
"SightseeingBus","Sightseeing Bus","Sightseeing-Bus","Autobús turístico","Bus touristique","관광버스","Autobus wycieczkowy","Ônibus de turismo","Экскурсионный автобус","游览车","観光バス"
"Balloon","Balloon","Ballon","Globo","Ballon","풍선","Balon","Balão","Воздушный шар","气球","熱気球"
"Income","Income","Einnahmen","Ingresos","Revenus","수입","Dochody","Receita","Доходы","收入","収入"
"Expenses","Expenses","Kosten","Gastos","Dépenses","소송 비용","Wydatki","Despesas","Затраты","费用","経費"
"Profit","Profit","Profitieren","Lucro","Profit","이익","Zysk","Lucro","Прибыль","利润","利益"
"BankBalance","Bank Balance","Kontostand","Saldo bancario","Solde bancaire","은행 잔고","Stan konta","Saldo bancário","Банковский баланс","银行存款余额","銀行残高"
"LoanBalance","Loan Balance","Darlehenssaldo","Balance de prestamo","Solde du prêt","대출 잔액","Saldo kredytu","Saldo do empréstimo","Баланс кредита","贷款余额","ローン残高"
"CityValue","City Value","Wert der Stadt","Valor de la ciudad","Valeur de la ville","도시 가치","Wartość miasta","Valor da cidade","Цена города","城市价值","シティバリュー"
"GrossDomesticProduct","Gross Domestic Product","Bruttoinlandsprodukt","Producto Interno Bruto","Produit intérieur brut","국내 총생산","Produkt Krajowy Brutto","Produto Interno Bruto","Валовый внутренний продукт","国内生产总值","国内総生産"
"GovernmentSpending","Government Spending","Staatsausgaben","Gastos gubernamentales","Les dépenses du gouvernement","정부 지출","Wydatki rządowe","Gastos públicos","Правительственные расходы","政府开支","政府支出"
"Exports","Exports","Exporte","Exportaciones","Exportations","수출","Eksport","Exportações","Экспорт","出口","輸出"
"Imports","Imports","Importe","Importaciones","Importations","수입품","Import","Importações","Импорт","进口","輸入"
"NetExports","Net Exports","Nettoexporte","Las exportaciones netas","Les exportations nettes","순수출","Eksport netto","Exportações líquidas","Чистый экспорт","净出口","純輸出"
